transcript,confidence,languageCode,channelTag,Participant,Trial,preciseStartTime,preciseEndTime,Picture_Identity,Picture_Label,Task_Side,Response_Time_in_PsychoPy,Response_Finish_in_PsychoPy,Stim_Onset,Block,Stim_Offset_Fix_Onset,Fix_Offset,Task,Picture_Number,First_Congruency,FrameRate,V17,Synonyms,Congruency,End_recording,Block_Bias,Task_Side_Bias
jacket,0.9764048,en-us,NA,1,11,2.445,2.61,shirt,handcuffs,7,1.3742001,0,115.2762223,1,117.3727594,115.2704686,Predictive Locations,obj392,Even_Split,59.95818516,NA,"long sleeve shirt, button down shirt, long sleeves, dress shirt, _jacket, shirt, handcuffs",Incongruent,120.9246912,NA,Congruent
onion,0.98762906,en-us,NA,1,12,1.45,1.765,onion,balloon,-7,1.4330941,0,120.930573,1,123.0264448,120.9246912,Predictive Locations,obj287,Even_Split,59.95818516,NA,"garlic, shallot, scallion, onion, balloon",Incongruent,125.4948643,NA,Incongruent
leg,0.74200916,en-us,NA,1,13,0.915,1.13,leg,leg,-7,0.9001321,1.3135485,125.500922,1,127.5966029,125.4948643,Predictive Locations,obj237,Even_Split,59.95818516,NA,"calf, shin, foreleg, knee, foot, leg",Congruent,128.3470483,NA,Incongruent
lettuce,0.98762906,en-us,NA,1,14,NA,NA,lettuce,lettuce,7,0.8008565,0.9957674,128.3526849,1,130.4488175,128.3470483,Predictive Locations,obj241,Even_Split,59.95818516,NA,"cabbage, spinach, romaine, kale, leaf, leaves, flower, lettuce",Congruent,132.4001955,NA,Congruent
woman,0.95925975,en-us,NA,1,15,1.3,1.6,woman,safe,-7,1.2845931,0,132.4060276,1,134.5022525,132.4001955,Predictive Locations,obj515,Even_Split,59.95818516,NA,"female, woman, safe",Incongruent,135.7527576,NA,Incongruent
rollerskate,0.97481394,en-us,NA,1,16,2.435,2.705,rollerskate,hanger,-7,2.4110996,0,135.7584441,1,138.7886641,135.7527576,Predictive Locations,obj361,Even_Split,59.95818516,NA,"rollerblade, rollerblades, rollerskates, shoe, rollerskate, hanger",Incongruent,142.1410338,NA,Incongruent
peanut,0.98762906,en-us,NA,1,17,1.225,1.48,peanut,policeman,-7,1.1731897,0,142.147112,1,144.2427672,142.1410338,Predictive Locations,obj306,Even_Split,59.95818516,NA,"nut, kernel, cashew, almond, pistachio, walnut, hazelnut, peanut, policeman",Incongruent,144.9932334,NA,Incongruent
snail,0.9653852,en-us,NA,1,18,1.34,1.64,snail,backpack,-7,1.2488053,0,144.9988335,1,147.0949846,144.9932334,Predictive Locations,obj408,Even_Split,59.95818516,NA,"mollusk, slug, snail, backpack",Incongruent,148.6460435,NA,Incongruent
salt shaker,0.9876291,en-us,NA,1,19,1.49,1.595,salt,salt,7,1.475594,0,148.6517748,1,150.7478026,148.6460435,Predictive Locations,obj374,Even_Split,59.95818516,NA,"shaker, pepper, salt shaker, pepper shaker, condiment, sugar, salt",Congruent,153.4997868,NA,Congruent
hair,0.91416043,en-us,NA,1,20,1.775,2.005,hair,hair,7,1.7044665,0,153.505724,1,155.8350344,153.4997868,Predictive Locations,obj190,Even_Split,59.95818516,NA,"woman, long hair, curly hair, hair",Congruent,157.4861651,NA,Congruent
roof,0.9820179,en-us,NA,1,21,1.52,1.705,roof,roof,7,1.5081268,0,157.4918877,1,159.6213016,157.4861651,Predictive Locations,obj363,Even_Split,59.95818516,NA,"house, ceiling, shingles, roof",Congruent,161.4726063,NA,Congruent
swan,0.97661686,en-us,NA,1,22,1.165,1.47,swan,swan,7,1.099179,0,161.478519,1,163.5743654,161.4726063,Predictive Locations,obj432,Even_Split,59.95818516,NA,"goose, duck, crane, pelican, swan",Congruent,164.3247905,NA,Congruent
butter,0.98762906,en-us,NA,1,23,1.665,1.925,butter,butter,7,1.662193,0,164.3304453,1,166.6100229,164.3247905,Predictive Locations,obj066,Even_Split,59.95818516,NA,"plate, oil, margarine, spread, butter",Congruent,168.7615549,NA,Congruent
Mountain,0.8897108,en-us,NA,1,24,1.17,1.595,mountain,drill,-7,1.1780642,0,168.7673755,1,170.8633367,168.7615549,Predictive Locations,obj272,Even_Split,59.95818516,NA,"peak, apex, ridge, Matterhorn, mountain, drill",Incongruent,172.2309143,NA,Incongruent
shovel,0.98762906,en-us,NA,1,25,1.03,1.33,shovel,shovel,-7,0.9077091,0,172.2365938,1,174.3493175,172.2309143,Predictive Locations,obj395,Even_Split,59.95818516,NA,"tool, shovel",Congruent,175.0997535,NA,Incongruent
Cannon,0.9819553,en-us,NA,1,26,1.48,1.83,cannon,eagle,7,1.4163454,0,175.1053488,1,177.2015474,175.0997535,Predictive Locations,obj077,Even_Split,59.95818516,NA,"howitzer, artillery, cannon, eagle",Incongruent,180.0536031,NA,Congruent
glasses,0.98762906,en-us,NA,1,27,1.285,1.715,glasses,glasses,7,1.2641313,0,180.0596009,1,182.1553538,180.0536031,Predictive Locations,obj181,Even_Split,59.95818516,NA, glasses,Congruent,183.9065723,NA,Congruent
paintbrush,0.98762906,en-us,NA,1,28,0.99,1.585,paintbrush,paintbrush,-7,0.7519714,0.7758702,183.9123234,1,186.0085939,183.9065723,Predictive Locations,obj293,Even_Split,59.95818516,NA,"brush, bristle, paintbrush",Congruent,186.8588592,NA,Incongruent
pumpkin,0.9869452,en-us,NA,1,29,1.095,1.54,pumpkin,truck,-7,1.0426009,0,186.8654224,1,188.9772816,186.8588592,Predictive Locations,obj339,Even_Split,59.95818516,NA,"squash, fruit, tomato, onion, pepper, pumpkin, truck",Incongruent,189.8277886,NA,Incongruent
NA,NA,NA,NA,1,30,NA,NA,porcupine,carrot,7,1.5935136,0,189.8334121,1,192.0463281,189.8277886,Predictive Locations,obj334,Even_Split,59.95818516,NA,"hedgehog, possum, echidna, porcupine, carrot",Incongruent,192.9969224,NA,Congruent
mirror,0.9935462,en-us,NA,1,31,1.15,1.535,mirror,rabbit,-7,0.1730672,0.3060386,193.0026201,1,195.0994143,192.9969224,Predictive Locations,obj263,Even_Split,59.95818516,NA,"reflection, mirror, rabbit",Incongruent,196.1493194,NA,Incongruent
basket,0.98762906,en-us,NA,1,32,1.03,1.485,basket,snake,7,1.0131103,0,196.154804,1,198.2511333,196.1493194,Predictive Locations,obj031,Even_Split,59.95818516,NA,"box, bag, crate, picnic basket, basket, snake",Incongruent,199.1016277,NA,Congruent
rake,0.9540891,en-us,NA,1,33,1,1.155,rake,rake,7,0.1763929,0.2083219,199.1073042,1,201.2203291,199.1016277,Predictive Locations,obj349,Even_Split,59.95818516,NA,"trident, shovel, brush, stick, pole, rake",Congruent,201.9705231,NA,Congruent
nurse,0.92428106,en-us,NA,1,34,1.44,1.745,nurse,nurse,7,1.4447647,0,201.9771618,1,204.0723919,201.9705231,Predictive Locations,obj284,Even_Split,59.95818516,NA,"woman, female, adult, nurse",Congruent,205.9235362,NA,Congruent
bride,0.98762906,en-us,NA,1,35,1.505,1.75,bride,bride,7,1.4958208,0,205.9292474,1,208.0420117,205.9235362,Predictive Locations,obj061,Even_Split,59.95818516,NA,"wedding, woman, dress, gown, mate, newlywed, spouse, wife, bride",Congruent,210.1934937,NA,Congruent
lipstick,0.98762906,en-us,NA,1,36,1.315,1.59,lipstick,squirrel,-7,1.143956,0,210.1993511,1,212.2952921,210.1934937,Predictive Locations,obj248,Even_Split,59.95818516,NA," lipstick, squirrel",Incongruent,213.5460868,NA,Incongruent
fireman,0.9821843,en-us,NA,1,37,1.25,1.745,fireman,fireman,7,1.2489315,0,213.5518087,1,215.6543793,213.5460868,Predictive Locations,obj155,Even_Split,59.95818516,NA,"man, firefighter, fireman",Congruent,217.4991255,NA,Congruent
peas,0.96766245,en-us,NA,1,38,2.175,2.38,peas,ladybug,7,2.1289687,0,217.5048315,1,220.2514042,217.4991255,Predictive Locations,obj308,Even_Split,59.95818516,NA,"beans, peapod, pea, green beans, peas, ladybug",Incongruent,222.4195905,NA,Congruent
cross,0.9729748,en-us,NA,1,39,1.16,1.31,cross,sled,-7,1.0589899,0,222.4254643,1,224.5213002,222.4195905,Predictive Locations,obj116,Even_Split,59.95818516,NA,"Christianity, cross, sled",Incongruent,225.2717875,NA,Incongruent
stoplight,0.9843848,en-us,NA,1,40,1.42,1.865,stoplight,stoplight,7,0.9636314,1.0035064,225.2774285,1,227.3735065,225.2717875,Predictive Locations,obj466,Even_Split,59.95818516,NA,"light, traffic light, signal, traffic signal, traffic signals, stoplight",Congruent,229.5251225,NA,Congruent
grapes,0.98762906,en-us,NA,1,41,0.865,1.955,grapes,windmill,-7,1.4860465,0,229.5310478,1,231.6434966,229.5251225,Predictive Locations,obj186,Even_Split,59.95818516,NA,"fruit, grapes, windmill",Incongruent,233.9117766,NA,Incongruent
eye,0.7883375,en-us,NA,1,42,0.91,1.17,eye,eye,7,0.5267601,0.6470826,233.9175667,1,236.0135366,233.9117766,Predictive Locations,obj148,Even_Split,59.95818516,NA,"eyeball, pupil, iris, eyelash, eyelashes, vision, eye",Congruent,236.7639785,NA,Congruent
worm,0.98762906,en-us,NA,1,43,1.57,1.825,worm,football,-7,1.5608402,0,236.7694434,1,238.9505703,236.7639785,Predictive Locations,obj516,Even_Split,59.95818516,NA,"larva, bug, insect, crawler, centipede, maggot, earthworm, slither, worm, football",Incongruent,241.3008101,NA,Incongruent
lamp,0.97996175,en-us,NA,1,44,1.28,1.505,lamp,tripod,7,1.2794412,0,241.3065972,1,243.4192496,241.3008101,Predictive Locations,obj234,Even_Split,59.95818516,NA,"light, lantern, lamp, tripod",Incongruent,244.2697671,NA,Congruent
clock,0.9847951,en-us,NA,1,45,1.385,1.565,clock,clock,7,1.2928436,0,244.275433,1,246.3715776,244.2697671,Predictive Locations,obj099,Even_Split,59.95818516,NA,"time, alarm, watch, clock",Congruent,247.4221702,NA,Congruent
piggybank,0.8484782,en-us,NA,1,46,1.58,2.03,piggybank,saxophone,-7,1.5494949,0,247.427967,1,249.5912151,247.4221702,Predictive Locations,obj318,Even_Split,59.95818516,NA,"pig, savings, decoration, deposit, piggybank, saxophone",Incongruent,252.2425919,NA,Incongruent
belt,0.9660759,en-us,NA,1,47,1.04,1.185,belt,belt,7,1.0204142,1.2390421,252.2486141,1,254.3443766,252.2425919,Predictive Locations,obj041,Even_Split,59.95818516,NA, belt,Congruent,255.0947889,NA,Congruent
Snowman,0.98762906,en-us,NA,1,48,1.085,1.61,snowman,tweezers,7,1.0589748,0,255.1003967,1,257.2132667,255.0947889,Predictive Locations,obj410,Even_Split,59.95818516,NA,"snow, snowwoman, snowman, tweezers",Incongruent,258.3640041,NA,Congruent
hot,0.73868406,en-us,NA,1,49,0.985,1.13,hat,hat,7,0.9018919,1.1980811,258.3697592,1,260.4657767,258.3640041,Predictive Locations,obj199,Even_Split,59.95818516,NA,"fedora, hat",Congruent,261.2161967,NA,Congruent
flower,0.96866316,en-us,NA,1,50,1.49,1.865,rose,scarf,-7,1.3859088,0,261.2218424,1,263.3179395,261.2161967,Predictive Locations,obj366,Even_Split,59.95818516,NA,"flower, tulip, orchid, poppy, rose, scarf",Incongruent,265.9865636,NA,Incongruent
unicorn,0.98762906,en-us,NA,1,51,1.09,1.875,unicorn,barrel,7,1.0886929,0,265.9927194,1,268.0882738,265.9865636,Predictive Locations,obj480,Even_Split,59.95818516,NA," unicorn, barrel",Incongruent,270.740174,NA,Congruent
scale,0.98762906,en-us,NA,1,52,1.285,1.61,scale,scale,7,0.6527281,0.7730513,270.745999,1,272.8587053,270.740174,Predictive Locations,obj378,Even_Split,59.95818516,NA,"weigh, balance, weight, scale",Congruent,273.9092956,NA,Congruent
jar,0.97768855,en-us,NA,1,53,1.345,1.645,jar,cow,-7,1.2857547,0,273.9150689,1,276.0116537,273.9092956,Predictive Locations,obj221,Even_Split,59.95818516,NA,"jug, vase, vessel, bottle, jar, cow",Incongruent,277.2618859,NA,Incongruent
turkey,0.98762906,en-us,NA,1,54,1.205,1.62,turkey,wood,7,1.0053452,1.0279516,277.267966,1,279.3637167,277.2618859,Predictive Locations,obj475,Even_Split,59.95818516,NA,"bird, goose, ham, rooster, chicken, poultry, turkey, wood",Incongruent,280.7145302,NA,Congruent
desk,0.98762906,en-us,NA,1,55,1.38,1.55,desk,ruler,7,1.3623706,0,280.7201122,1,282.8332781,280.7145302,Predictive Locations,obj124,Even_Split,59.95818516,NA,"cabinet, table, desk, ruler",Incongruent,284.2839247,NA,Congruent
penguin,0.98762906,en-us,NA,1,56,1.14,1.52,penguin,boy,-7,1.1041232,0,284.2897149,1,286.3857353,284.2839247,Predictive Locations,obj313,Even_Split,59.95818516,NA,"puffin, bird, penguin, boy",Incongruent,287.2362613,NA,Incongruent
map,0.9743094,en-us,NA,1,57,1.18,1.415,map,shark,-7,1.1831163,0,287.2420633,1,289.3380727,287.2362613,Predictive Locations,obj257,Even_Split,59.95818516,NA,"America, Uniteds States, North America, map, shark",Incongruent,290.0884607,NA,Incongruent
pot,0.9774967,en-us,NA,1,58,1.59,1.755,pot,pot,7,1.5197364,0,290.0942136,1,292.2402485,290.0884607,Predictive Locations,obj335,Even_Split,59.95818516,NA,"bowl, bucket, kettle, pan, container, canister, pot",Congruent,293.9914665,NA,Congruent
thumb,0.94928306,en-us,NA,1,59,1.43,1.715,thumb,thumb,-7,1.3335026,0,293.9973735,1,296.0957261,293.9914665,Predictive Locations,obj452,Even_Split,59.95818516,NA,"finger, hang, left hand, extension, thumbs up, thumb",Congruent,297.9445172,NA,Incongruent
Soldier,0.9938145,en-us,NA,1,60,1.78,2.23,soldier,hoof,-7,1.6675199,0,297.9505244,1,300.2297957,297.9445172,Predictive Locations,obj413,Even_Split,59.95818516,NA,"fighter, guard, officer, trooper, army, marine, soldier, hoof",Incongruent,303.5821785,NA,Incongruent
zebra,0.9938078,en-us,NA,1,61,1.095,1.29,zebra,zebra,7,0.824141,1.4302254,303.5881863,1,305.6840023,303.5821785,Predictive Locations,obj519,Even_Split,59.95818516,NA,"horse, zebra",Congruent,306.4343763,NA,Congruent
trashcan,0.66130155,en-us,NA,1,62,1.075,1.61,trashcan,trashcan,7,1.0127116,0,306.440058,1,308.5362009,306.4343763,Predictive Locations,obj468,Even_Split,59.95818516,NA,"trash, garbage, garbage can, bin, garbage bin, trashcan",Congruent,309.58682,NA,Congruent
Queen,0.9855062,en-us,NA,1,63,1.315,1.61,queen,skunk,7,1.0108552,1.025528,309.5925531,1,311.6885278,309.58682,Predictive Locations,obj342,Even_Split,59.95818516,NA,"regal, crown, throne, emperor, monarch, king, queen, skunk",Incongruent,313.0394302,NA,Congruent
tree,0.8464209,en-us,NA,1,64,0.83,1.1,tree,tree,7,0.7397257,1.1866137,313.045015,1,315.1411266,313.0394302,Predictive Locations,obj469,Even_Split,59.95818516,NA,"oak tree, tree",Congruent,315.8916486,NA,Congruent
stethoscope,0.9798577,en-us,NA,1,65,NA,NA,stethoscope,stethoscope,-7,1.3555841,0,315.8972352,1,317.9933948,315.8916486,Predictive Locations,obj423,Even_Split,59.95818516,NA,"instrument, stethoscope",Congruent,319.8446946,NA,Incongruent
cage,0.96392167,en-us,NA,1,66,1.235,1.75,cage,cage,7,1.2389145,0,319.8504067,1,321.9594563,319.8446946,Predictive Locations,obj070,Even_Split,59.95818516,NA,"crate, pen, empty, cage",Congruent,323.1972929,NA,Congruent
goat,0.9803672,en-us,NA,1,67,0.89,1.08,goat,goat,7,0.8612954,1.1870037,330.9076162,2,333.0049628,323.1972929,Predictive Locations,obj184,Even_Split,59.95818516,NA,"sheep, ram, lamb, goat",Congruent,333.7554137,NA,Congruent
cloud,0.98762906,en-us,NA,1,68,1,1.245,cloud,bow,-7,0.8104212,0.8339674,333.7610261,2,335.8571592,333.7554137,Predictive Locations,obj101,Even_Split,59.95818516,NA," cloud, bow",Incongruent,336.607592,NA,Incongruent
steering wheel,0.9958763,en-us,NA,1,69,1.22,1.785,steeringwheel,steeringwheel,-7,1.1198179,1.1430748,336.6130889,2,338.7093645,336.607592,Predictive Locations,obj422,Even_Split,59.95818516,NA,"wheel, steeringwheel",Congruent,340.6607359,NA,Incongruent
fountain,0.9938145,en-us,NA,1,70,1.245,1.63,fountain,pants,-7,1.2051842,0,340.6663829,2,342.7630854,340.6607359,Predictive Locations,obj169,Even_Split,59.95818516,NA,"water, stream, fountain, pants",Incongruent,344.213473,NA,Incongruent
button,0.92236507,en-us,NA,1,71,1.57,1.725,button,button,7,1.3946906,0,344.2190915,2,346.3266897,344.213473,Predictive Locations,obj068,Even_Split,59.95818516,NA, button,Congruent,347.8663018,NA,Congruent
fishing pole,0.9533744,en-us,NA,1,72,1.07,1.615,fishingpole,fishingpole,7,1.0676264,0,347.8720015,2,349.9790407,347.8663018,Predictive Locations,obj158,Even_Split,59.95818516,NA,"bait, fishing rod, fishing line, rod, hook, casting rod, casting line, fly rod, fishingpole",Congruent,351.3189505,NA,Congruent
binoculars,0.98762906,en-us,NA,1,73,1.835,2.415,binoculars,mop,-7,1.8168634,0,351.3246167,2,353.7543105,351.3189505,Predictive Locations,obj044,Even_Split,59.95818516,NA,"telescope, binoculars, mop",Incongruent,356.8065201,NA,Incongruent
scorpion,0.98762906,en-us,NA,1,74,1.275,1.745,scorpion,lighthouse,-7,1.1605859,0,356.8124601,2,358.9082887,356.8065201,Predictive Locations,obj381,Even_Split,59.95818516,NA,"lobster, arachnid, crustacean, crab, crawfish, scorpion, lighthouse",Incongruent,361.0597982,NA,Incongruent
kite,0.98762906,en-us,NA,1,75,0.71,0.97,kite,kite,7,0.7153735,1.0395176,361.0655692,2,363.1615423,361.0597982,Predictive Locations,obj227,Even_Split,59.95818516,NA, kite,Congruent,363.911983,NA,Congruent
coat,0.9606378,en-us,NA,1,76,1.835,1.99,coat,coat,7,1.6184462,0,363.9175227,2,366.1471757,363.911983,Predictive Locations,obj103,Even_Split,59.95818516,NA,"jacket, cloak, overcoat, coat",Congruent,367.4980934,NA,Congruent
bus,0.9328593,en-us,NA,1,77,1.24,1.58,bus,bus,7,1.2190568,0,367.503771,2,369.600496,367.4980934,Predictive Locations,obj065,Even_Split,59.95818516,NA,"bus driver, driver, public transportation, bus",Congruent,370.550453,NA,Congruent
razor,0.99028933,en-us,NA,1,78,2.42,2.775,razor,saw,-7,2.425995,0,370.5562955,2,373.6029098,370.550453,Predictive Locations,obj350,Even_Split,59.95818516,NA,"spaceship, blade, razorblade, shaving, shaver, _windshieldwiper, razor, saw",Incongruent,376.171448,NA,Incongruent
bee,0.9276277,en-us,NA,1,79,1.15,1.36,bee,moon,-7,1.143852,0,376.1774612,2,378.2735528,376.171448,Predictive Locations,obj038,Even_Split,59.95818516,NA,"bug, fly, bee, moon",Incongruent,379.0236651,NA,Incongruent
pack,0.9320892,en-us,NA,1,80,1.48,1.705,bag,bag,-7,1.4136686,0,379.0294104,2,381.1254104,379.0236651,Predictive Locations,obj022,Even_Split,59.95818516,NA,"lunch bag, bag",Congruent,382.976699,NA,Incongruent
shoulder,0.951759,en-us,NA,1,81,1.035,1.405,shoulder,shoulder,-7,0.9023125,0,382.9824578,2,385.0951241,382.976699,Predictive Locations,obj394,Even_Split,59.95818516,NA,"bicep, arm, upper arm, body, upper body, shoulder",Congruent,385.8455781,NA,Incongruent
shower,0.98762906,en-us,NA,1,82,1.95,2.23,shower,bench,-7,0.9682277,1.2714295,385.8511889,2,387.9473173,385.8455781,Predictive Locations,obj396,Even_Split,59.95818516,NA,"faucet, nozzle, valve, spout, water, showerhead, shower, bench",Incongruent,392.8009302,NA,Incongruent
sweater,0.98762906,en-us,NA,1,83,0.995,1.285,sweater,sweater,-7,0.9903119,1.3844287,392.8068573,2,394.902703,392.8009302,Predictive Locations,obj433,Even_Split,59.95818516,NA,"shirt, long sleeve shirt, sweatshirt, pullover, jacket, sweater",Congruent,395.6531194,NA,Incongruent
palette,0.9938145,en-us,NA,1,84,1.915,2.205,paint,beard,-7,1.8694201,0,395.6588067,2,398.1551593,395.6531194,Predictive Locations,obj294,Even_Split,59.95818516,NA,"paintbrush, paintbrushes, palette, paint palette, art, painting, paint, beard",Incongruent,400.2233235,NA,Incongruent
crackers,0.9789681,en-us,NA,1,85,1.36,1.785,crackers,crackers,-7,1.2706939,0,400.2291672,2,402.3250587,400.2233235,Predictive Locations,obj114,Even_Split,59.95818516,NA,"saltine, saltines, cookie, cookies, graham cracker, graham crackers, crackers",Congruent,403.2756549,NA,Incongruent
dentist,0.97331774,en-us,NA,1,86,1.575,1.885,dentist,dentist,7,1.4979454,0,403.2812949,2,405.3941093,403.2756549,Predictive Locations,obj122,Even_Split,59.95818516,NA,"orthodontist, oral surgeon, doctor, patient, feeding, dentist",Congruent,407.3454853,NA,Congruent
parrot,0.98762906,en-us,NA,1,87,1.27,1.57,parrot,clown,-7,1.2199862,0,407.3512764,2,409.4472487,407.3454853,Predictive Locations,obj302,Even_Split,59.95818516,NA,"bird, macaw, parakeet, toucan, cockatoo, lovebird, pecan, parrot, clown",Incongruent,410.5979936,NA,Incongruent
toilet,0.98762906,en-us,NA,1,88,1.125,1.495,toilet,toilet,7,1.0097545,0,410.6036129,2,412.7164153,410.5979936,Predictive Locations,obj458,Even_Split,59.95818516,NA,"restroom, lavatory, toilet",Congruent,413.4668794,NA,Congruent
refrigerator,0.98762906,en-us,NA,1,89,1.445,1.84,refrigerator,globe,-7,1.2256505,0,413.472521,2,415.5686248,413.4668794,Predictive Locations,obj352,Even_Split,59.95818516,NA,"fridge, freezer, appliance, refrigerator, globe",Incongruent,418.1204542,NA,Incongruent
glove,0.97645974,en-us,NA,1,90,1.02,1.295,glove,glove,-7,0.9599727,0,418.1262695,2,420.222201,418.1204542,Predictive Locations,obj183,Even_Split,59.95818516,NA,"mitt, hand, glove",Congruent,420.9726278,NA,Incongruent
bear,0.966437,en-us,NA,1,91,1.05,1.28,bear,bear,-7,1.0417693,1.4028537,420.9782487,2,423.0744029,420.9726278,Predictive Locations,obj034,Even_Split,59.95818516,NA,"grizzly, bear",Congruent,423.8248533,NA,Incongruent
pyramid,0.98762906,en-us,NA,1,92,1.31,1.79,pyramid,lemon,-7,1.2805842,0,423.83043,2,425.9266111,423.8248533,Predictive Locations,obj341,Even_Split,59.95818516,NA,"Egypt, shrine, tomb, prism, pyramid, lemon",Incongruent,427.9780505,NA,Incongruent
robot,0.985374,en-us,NA,1,93,0.955,1.085,robot,robot,7,0.9505005,1.3970961,427.9837961,2,430.0798002,427.9780505,Predictive Locations,obj357,Even_Split,59.95818516,NA, robot,Congruent,430.8302443,NA,Congruent
hippo,0.98762906,en-us,NA,1,94,1.705,1.89,hippo,priest,-7,1.503016,0,430.8358275,2,432.9653761,430.8302443,Predictive Locations,obj207,Even_Split,59.95818516,NA,"hippopotamus, rhino, rhinoceros, hippo, priest",Incongruent,434.4163243,NA,Incongruent
Terry,0.79235137,en-us,NA,1,95,1.345,1.66,cherry,cherry,7,1.2000464,0,434.4220318,2,436.5180981,434.4163243,Predictive Locations,obj091,Even_Split,59.95818516,NA,"grape, cherry",Congruent,437.6688564,NA,Congruent
fish,0.9868068,en-us,NA,1,96,1.145,1.26,fish,fish,-7,1.1554229,0,437.6745071,2,439.7706969,437.6688564,Predictive Locations,obj157,Even_Split,59.95818516,NA, fish,Congruent,440.5210878,NA,Incongruent
train,0.9824244,en-us,NA,1,97,1.285,1.51,train,owl,-7,1.1915541,0,440.5266815,2,442.6228046,440.5210878,Predictive Locations,obj467,Even_Split,59.95818516,NA,"rail, train, owl",Incongruent,443.4733254,NA,Incongruent
bread,0.95574164,en-us,NA,1,98,1.15,1.35,bread,bread,7,1.1388721,1.4218023,443.4789731,2,445.5750849,443.4733254,Predictive Locations,obj060,Even_Split,59.95818516,NA,"loaf, toast, bread",Congruent,446.3255382,NA,Congruent
lightbulb,0.951813,en-us,NA,1,99,1.145,1.52,lightbulb,lightbulb,-7,1.1294599,0,446.3311285,2,448.4274345,446.3255382,Predictive Locations,obj242,Even_Split,59.95818516,NA,"bulb, light, lightbulb",Congruent,449.4779423,NA,Incongruent
parachute,0.98762906,en-us,NA,1,100,1.295,1.785,parachute,lizard,-7,1.2409295,0,449.4836317,2,451.5797132,449.4779423,Predictive Locations,obj301,Even_Split,59.95818516,NA,"safety net, hot air balloon, parachute, lizard",Incongruent,452.9306203,NA,Incongruent
cry,0.8784796,en-us,NA,1,101,1.465,1.9,tear,feather,7,1.4749467,0,452.9363286,2,455.0323736,452.9306203,Predictive Locations,obj442,Even_Split,59.95818516,NA,"cry, crying, child, boy, girl, sad, sadness, sulk, tears, tear, feather",Incongruent,457.0838297,NA,Congruent
cactus,0.95466423,en-us,NA,1,102,1.06,1.7,cactus,cactus,7,1.0820837,0,457.0896012,2,459.2023192,457.0838297,Predictive Locations,obj069,Even_Split,59.95818516,NA,"cacti, cactuses, cactus",Congruent,460.052783,NA,Congruent
